title,notation,label
01.0608-Floriculture/Floristry Operations and Management.,01.0608,Floriculture/Floristry Operations and Management.
01.0609-Public Horticulture.,01.0609,Public Horticulture.
01.0610-Urban and Community Horticulture.,01.0610,Urban and Community Horticulture.
"01.0699-Applied Horticulture/Horticultural Business Services, Other.",01.0699,"Applied Horticulture/Horticultural Business Services, Other."
01.0701-International Agriculture.,01.0701,International Agriculture.
01.0801-Agricultural and Extension Education Services.,01.0801,Agricultural and Extension Education Services.
01.0802-Agricultural Communication/Journalism.,01.0802,Agricultural Communication/Journalism.
"01.0899-Agricultural Public Services, Other.",01.0899,"Agricultural Public Services, Other."
"01.0901-Animal Sciences, General.",01.0901,"Animal Sciences, General."
01.0902-Agricultural Animal Breeding.,01.0902,Agricultural Animal Breeding.
01.0903-Animal Health.,01.0903,Animal Health.
01.0904-Animal Nutrition.,01.0904,Animal Nutrition.
01.0905-Dairy Science.,01.0905,Dairy Science.
01.0906-Livestock Management.,01.0906,Livestock Management.
01.0907-Poultry Science.,01.0907,Poultry Science.
"01.0999-Animal Sciences, Other.",01.0999,"Animal Sciences, Other."
01.1001-Food Science.,01.1001,Food Science.
01.1002-Food Technology and Processing.,01.1002,Food Technology and Processing.
01.1003-Brewing Science.,01.1003,Brewing Science.
01.1004-Viticulture and Enology.,01.1004,Viticulture and Enology.
01.1005-Zymology/Fermentation Science.,01.1005,Zymology/Fermentation Science.
"01.1099-Food Science and Technology, Other.",01.1099,"Food Science and Technology, Other."
"01.1101-Plant Sciences, General.",01.1101,"Plant Sciences, General."
01.1102-Agronomy and Crop Science.,01.1102,Agronomy and Crop Science.
01.1103-Horticultural Science.,01.1103,Horticultural Science.
01.1104-Agricultural and Horticultural Plant Breeding.,01.1104,Agricultural and Horticultural Plant Breeding.
01.1105-Plant Protection and Integrated Pest Management.,01.1105,Plant Protection and Integrated Pest Management.
01.1106-Range Science and Management.,01.1106,Range Science and Management.
"01.1199-Plant Sciences, Other.",01.1199,"Plant Sciences, Other."
"01.1201-Soil Science and Agronomy, General.",01.1201,"Soil Science and Agronomy, General."
01.1202-Soil Chemistry and Physics.,01.1202,Soil Chemistry and Physics.
01.1203-Soil Microbiology.,01.1203,Soil Microbiology.
"01.1299-Soil Sciences, Other.",01.1299,"Soil Sciences, Other."
01.1302-Pre-Veterinary Studies.,01.1302,Pre-Veterinary Studies.
"01.1399-Agriculture/Veterinary Preparatory Programs, Other.",01.1399,"Agriculture/Veterinary Preparatory Programs, Other."
01.8001-Veterinary Medicine.,01.8001,Veterinary Medicine.
"01.8101-Veterinary Sciences/Veterinary Clinical Sciences, General.",01.8101,"Veterinary Sciences/Veterinary Clinical Sciences, General."
01.8102-Comparative and Laboratory Animal Medicine.,01.8102,Comparative and Laboratory Animal Medicine.
01.8103-Large Animal/Food Animal and Equine Surgery and Medicine.,01.8103,Large Animal/Food Animal and Equine Surgery and Medicine.
01.8104-Small/Companion Animal Surgery and Medicine.,01.8104,Small/Companion Animal Surgery and Medicine.
01.8105-Veterinary Anatomy.,01.8105,Veterinary Anatomy.
01.8106-Veterinary Infectious Diseases.,01.8106,Veterinary Infectious Diseases.
01.8107-Veterinary Microbiology and Immunobiology.,01.8107,Veterinary Microbiology and Immunobiology.
01.8108-Veterinary Pathology and Pathobiology.,01.8108,Veterinary Pathology and Pathobiology.
01.8109-Veterinary Physiology.,01.8109,Veterinary Physiology.
"01.8110-Veterinary Preventive Medicine, Epidemiology, and Public Health.",01.8110,"Veterinary Preventive Medicine, Epidemiology, and Public Health."
01.8111-Veterinary Toxicology and Pharmacology.,01.8111,Veterinary Toxicology and Pharmacology.
"01.8199-Veterinary Biomedical and Clinical Sciences, Other.",01.8199,"Veterinary Biomedical and Clinical Sciences, Other."
"01.8201-Veterinary Administrative Services, General.",01.8201,"Veterinary Administrative Services, General."
01.8202-Veterinary Office Management/Administration.,01.8202,Veterinary Office Management/Administration.
01.8203-Veterinary Reception/Receptionist.,01.8203,Veterinary Reception/Receptionist.
01.8204-Veterinary Administrative/Executive Assistant and Veterinary Secretary.,01.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.
"01.8299-Veterinary Administrative Services, Other.",01.8299,"Veterinary Administrative Services, Other."
01.8301-Veterinary/Animal Health Technology/Technician and Veterinary Assistant.,01.8301,Veterinary/Animal Health Technology/Technician and Veterinary Assistant.
"01.8399-Veterinary/Animal Health Technologies/Technicians, Other.",01.8399,"Veterinary/Animal Health Technologies/Technicians, Other."
"01.9999-Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",01.9999,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other."
"03.0101-Natural Resources/Conservation, General.",03.0101,"Natural Resources/Conservation, General."
03.0103-Environmental Studies.,03.0103,Environmental Studies.
03.0104-Environmental Science.,03.0104,Environmental Science.
"03.0199-Natural Resources Conservation and Research, Other.",03.0199,"Natural Resources Conservation and Research, Other."
"03.0201-Environmental/Natural Resources Management and Policy, General.",03.0201,"Environmental/Natural Resources Management and Policy, General."
03.0204-Environmental/Natural Resource Economics.,03.0204,Environmental/Natural Resource Economics.
"03.0205-Water, Wetlands, and Marine Resources Management.",03.0205,"Water, Wetlands, and Marine Resources Management."
03.0206-Land Use Planning and Management/Development.,03.0206,Land Use Planning and Management/Development.
03.0207-Environmental/Natural Resource Recreation and Tourism.,03.0207,Environmental/Natural Resource Recreation and Tourism.
03.0208-Environmental/Natural Resources Law Enforcement and Protective Services.,03.0208,Environmental/Natural Resources Law Enforcement and Protective Services.
03.0209-Energy and Environmental Policy.,03.0209,Energy and Environmental Policy.
03.0210-Bioenergy.,03.0210,Bioenergy.
"03.0299-Environmental/Natural Resources Management and Policy, Other.",03.0299,"Environmental/Natural Resources Management and Policy, Other."
03.0301-Fishing and Fisheries Sciences and Management.,03.0301,Fishing and Fisheries Sciences and Management.
"03.0501-Forestry, General.",03.0501,"Forestry, General."
03.0502-Forest Sciences and Biology.,03.0502,Forest Sciences and Biology.
03.0506-Forest Management/Forest Resources Management.,03.0506,Forest Management/Forest Resources Management.
03.0508-Urban Forestry.,03.0508,Urban Forestry.
03.0509-Wood Science and Wood Products/Pulp and Paper Technology/Technician.,03.0509,Wood Science and Wood Products/Pulp and Paper Technology/Technician.
03.0510-Forest Resources Production and Management.,03.0510,Forest Resources Production and Management.
03.0511-Forest Technology/Technician.,03.0511,Forest Technology/Technician.
"03.0599-Forestry, Other.",03.0599,"Forestry, Other."
"03.0601-Wildlife, Fish and Wildlands Science and Management.",03.0601,"Wildlife, Fish and Wildlands Science and Management."
"03.9999-Natural Resources and Conservation, Other.",03.9999,"Natural Resources and Conservation, Other."
04.0200-Pre-Architecture Studies.,04.0200,Pre-Architecture Studies.
04.0201-Architecture.,04.0201,Architecture.
04.0202-Architectural Design.,04.0202,Architectural Design.
"04.0299-Architecture, Other.",04.0299,"Architecture, Other."
"04.0301-City/Urban, Community, and Regional Planning.",04.0301,"City/Urban, Community, and Regional Planning."
04.0401-Environmental Design/Architecture.,04.0401,Environmental Design/Architecture.
04.0402-Healthcare Environment Design/Architecture.,04.0402,Healthcare Environment Design/Architecture.
04.0403-Sustainable Design/Architecture.,04.0403,Sustainable Design/Architecture.
"04.0499-Environmental Design, Other.",04.0499,"Environmental Design, Other."
04.0501-Interior Architecture.,04.0501,Interior Architecture.
04.0601-Landscape Architecture.,04.0601,Landscape Architecture.
"04.0801-Architectural History and Criticism, General.",04.0801,"Architectural History and Criticism, General."
04.0802-Architectural Conservation.,04.0802,Architectural Conservation.
04.0803-Architectural Studies.,04.0803,Architectural Studies.
"04.0899-Architectural History, Criticism, and Conservation, Other.",04.0899,"Architectural History, Criticism, and Conservation, Other."
04.0901-Architectural Technology/Technician.,04.0901,Architectural Technology/Technician.
04.0902-Architectural and Building Sciences/Technology.,04.0902,Architectural and Building Sciences/Technology.
"04.0999-Architectural Sciences and Technology, Other.",04.0999,"Architectural Sciences and Technology, Other."
04.1001-Real Estate Development.,04.1001,Real Estate Development.
"04.9999-Architecture and Related Services, Other.",04.9999,"Architecture and Related Services, Other."
05.0101-African Studies.,05.0101,African Studies.
05.0102-American/United States Studies/Civilization.,05.0102,American/United States Studies/Civilization.
05.0103-Asian Studies/Civilization.,05.0103,Asian Studies/Civilization.
05.0104-East Asian Studies.,05.0104,East Asian Studies.
"05.0105-Russian, Central European, East European and Eurasian Studies.",05.0105,"Russian, Central European, East European and Eurasian Studies."
05.0106-European Studies/Civilization.,05.0106,European Studies/Civilization.
05.0107-Latin American Studies.,05.0107,Latin American Studies.
05.0108-Near and Middle Eastern Studies.,05.0108,Near and Middle Eastern Studies.
05.0109-Pacific Area/Pacific Rim Studies.,05.0109,Pacific Area/Pacific Rim Studies.
05.0110-Russian Studies.,05.0110,Russian Studies.
05.0111-Scandinavian Studies.,05.0111,Scandinavian Studies.
05.0112-South Asian Studies.,05.0112,South Asian Studies.
05.0113-Southeast Asian Studies.,05.0113,Southeast Asian Studies.
05.0114-Western European Studies.,05.0114,Western European Studies.
05.0115-Canadian Studies.,05.0115,Canadian Studies.
05.0116-Balkans Studies.,05.0116,Balkans Studies.
05.0117-Baltic Studies.,05.0117,Baltic Studies.
05.0118-Slavic Studies.,05.0118,Slavic Studies.
05.0119-Caribbean Studies.,05.0119,Caribbean Studies.
05.0120-Ural-Altaic and Central Asian Studies.,05.0120,Ural-Altaic and Central Asian Studies.
05.0121-Commonwealth Studies.,05.0121,Commonwealth Studies.
"05.0122-Regional Studies (U.S., Canadian, Foreign).",05.0122,"Regional Studies (U.S., Canadian, Foreign)."
05.0123-Chinese Studies.,05.0123,Chinese Studies.
05.0124-French Studies.,05.0124,French Studies.
05.0125-German Studies.,05.0125,German Studies.
05.0126-Italian Studies.,05.0126,Italian Studies.
05.0127-Japanese Studies.,05.0127,Japanese Studies.
05.0128-Korean Studies.,05.0128,Korean Studies.
05.0129-Polish Studies.,05.0129,Polish Studies.
05.0130-Spanish and Iberian Studies.,05.0130,Spanish and Iberian Studies.
05.0131-Tibetan Studies.,05.0131,Tibetan Studies.
05.0132-Ukraine Studies.,05.0132,Ukraine Studies.
05.0133-Irish Studies.,05.0133,Irish Studies.
05.0134-Latin American and Caribbean Studies.,05.0134,Latin American and Caribbean Studies.
05.0135-Appalachian Studies.,05.0135,Appalachian Studies.
05.0136-Arctic Studies.,05.0136,Arctic Studies.
"05.0199-Area Studies, Other.",05.0199,"Area Studies, Other."
05.0200-Ethnic Studies.,05.0200,Ethnic Studies.
05.0201-African-American/Black Studies.,05.0201,African-American/Black Studies.
05.0202-American Indian/Native American Studies.,05.0202,American Indian/Native American Studies.
"05.0203-Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
05.0206-Asian-American Studies.,05.0206,Asian-American Studies.
05.0207-Women's Studies.,05.0207,Women's Studies.
05.0208-Gay/Lesbian Studies.,05.0208,Gay/Lesbian Studies.
05.0209-Folklore Studies.,05.0209,Folklore Studies.
05.0210-Disability Studies.,05.0210,Disability Studies.
05.0211-Deaf Studies.,05.0211,Deaf Studies.
05.0212-Comparative Group Studies.,05.0212,Comparative Group Studies.
"05.0299-Ethnic, Cultural Minority, Gender, and Group Studies, Other.",05.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
"05.9999-Area, Ethnic, Cultural, Gender, and Group Studies, Other.",05.9999,"Area, Ethnic, Cultural, Gender, and Group Studies, Other."
"09.0100-Communication, General.",09.0100,"Communication, General."
09.0101-Speech Communication and Rhetoric.,09.0101,Speech Communication and Rhetoric.
09.0102-Mass Communication/Media Studies.,09.0102,Mass Communication/Media Studies.
"09.0199-Communication and Media Studies, Other.",09.0199,"Communication and Media Studies, Other."
09.0401-Journalism.,09.0401,Journalism.
09.0402-Broadcast Journalism.,09.0402,Broadcast Journalism.
09.0404-Photojournalism.,09.0404,Photojournalism.
09.0405-Business and Economic Journalism.,09.0405,Business and Economic Journalism.
09.0406-Cultural Journalism.,09.0406,Cultural Journalism.
09.0407-Science/Health/Environmental Journalism.,09.0407,Science/Health/Environmental Journalism.
"09.0499-Journalism, Other.",09.0499,"Journalism, Other."
09.0701-Radio and Television.,09.0701,Radio and Television.
09.0702-Digital Communication and Media/Multimedia.,09.0702,Digital Communication and Media/Multimedia.
"09.0799-Radio, Television, and Digital Communication, Other.",09.0799,"Radio, Television, and Digital Communication, Other."
"09.0900-Public Relations, Advertising, and Applied Communication.",09.0900,"Public Relations, Advertising, and Applied Communication."
"09.0901-Organizational Communication, General.",09.0901,"Organizational Communication, General."
09.0902-Public Relations/Image Management.,09.0902,Public Relations/Image Management.
09.0903-Advertising.,09.0903,Advertising.
09.0904-Political Communication.,09.0904,Political Communication.
09.0905-Health Communication.,09.0905,Health Communication.
09.0906-Sports Communication.,09.0906,Sports Communication.
09.0907-International and Intercultural Communication.,09.0907,International and Intercultural Communication.
09.0908-Technical and Scientific Communication.,09.0908,Technical and Scientific Communication.
09.0909-Communication Management and Strategic Communications.,09.0909,Communication Management and Strategic Communications.
"09.0999-Public Relations, Advertising, and Applied Communication, Other.",09.0999,"Public Relations, Advertising, and Applied Communication, Other."
09.1001-Publishing.,09.1001,Publishing.
"09.9999-Communication, Journalism, and Related Programs, Other.",09.9999,"Communication, Journalism, and Related Programs, Other."
10.0105-Communications Technology/Technician.,10.0105,Communications Technology/Technician.
10.0201-Photographic and Film/Video Technology/Technician.,10.0201,Photographic and Film/Video Technology/Technician.
10.0202-Radio and Television Broadcasting Technology/Technician.,10.0202,Radio and Television Broadcasting Technology/Technician.
10.0203-Recording Arts Technology/Technician.,10.0203,Recording Arts Technology/Technician.
10.0204-Voice Writing Technology/Technician.,10.0204,Voice Writing Technology/Technician.
"10.0299-Audiovisual Communications Technologies/Technicians, Other.",10.0299,"Audiovisual Communications Technologies/Technicians, Other."
"10.0301-Graphic Communications, General.",10.0301,"Graphic Communications, General."
10.0302-Printing Management.,10.0302,Printing Management.
10.0303-Prepress/Desktop Publishing and Digital Imaging Design.,10.0303,Prepress/Desktop Publishing and Digital Imaging Design.
"10.0304-Animation, Interactive Technology, Video Graphics, and Special Effects.",10.0304,"Animation, Interactive Technology, Video Graphics, and Special Effects."
"10.0305-Graphic and Printing Equipment Operator, General Production.",10.0305,"Graphic and Printing Equipment Operator, General Production."
10.0306-Platemaker/Imager.,10.0306,Platemaker/Imager.
10.0307-Printing Press Operator.,10.0307,Printing Press Operator.
10.0308-Computer Typography and Composition Equipment Operator.,10.0308,Computer Typography and Composition Equipment Operator.
"10.0399-Graphic Communications, Other.",10.0399,"Graphic Communications, Other."
"10.9999-Communications Technologies/Technicians and Support Services, Other.",10.9999,"Communications Technologies/Technicians and Support Services, Other."
"11.0101-Computer and Information Sciences, General.",11.0101,"Computer and Information Sciences, General."
11.0102-Artificial Intelligence.,11.0102,Artificial Intelligence.
11.0103-Information Technology.,11.0103,Information Technology.
11.0104-Informatics.,11.0104,Informatics.
11.0105-Human-Centered Technology Design.,11.0105,Human-Centered Technology Design.
"11.0199-Computer and Information Sciences,  Other.",11.0199,"Computer and Information Sciences,  Other."
"11.0201-Computer Programming/Programmer, General.",11.0201,"Computer Programming/Programmer, General."
"11.0202-Computer Programming, Specific Applications.",11.0202,"Computer Programming, Specific Applications."
"11.0203-Computer Programming, Vendor/Product Certification.",11.0203,"Computer Programming, Vendor/Product Certification."
11.0204-Computer Game Programming.,11.0204,Computer Game Programming.
"11.0205-Computer Programming, Specific Platforms.",11.0205,"Computer Programming, Specific Platforms."
"11.0299-Computer Programming, Other.",11.0299,"Computer Programming, Other."
11.0301-Data Processing and Data Processing Technology/Technician.,11.0301,Data Processing and Data Processing Technology/Technician.
11.0401-Information Science/Studies.,11.0401,Information Science/Studies.
11.0501-Computer Systems Analysis/Analyst.,11.0501,Computer Systems Analysis/Analyst.
"11.0601-Data Entry/Microcomputer Applications, General.",11.0601,"Data Entry/Microcomputer Applications, General."
11.0602-Word Processing.,11.0602,Word Processing.
"11.0699-Data Entry/Microcomputer Applications, Other.",11.0699,"Data Entry/Microcomputer Applications, Other."
11.0701-Computer Science.,11.0701,Computer Science.
"11.0801-Web Page, Digital/Multimedia and Information Resources Design.",11.0801,"Web Page, Digital/Multimedia and Information Resources Design."
11.0802-Data Modeling/Warehousing and Database Administration.,11.0802,Data Modeling/Warehousing and Database Administration.
11.0803-Computer Graphics.,11.0803,Computer Graphics.
"11.0804-Modeling, Virtual Environments and Simulation.",11.0804,"Modeling, Virtual Environments and Simulation."
"11.0899-Computer Software and Media Applications, Other.",11.0899,"Computer Software and Media Applications, Other."
11.0901-Computer Systems Networking and Telecommunications.,11.0901,Computer Systems Networking and Telecommunications.
11.0902-Cloud Computing.,11.0902,Cloud Computing.
"11.0999-Computer Systems Networking and Telecommunications, Other.",11.0999,"Computer Systems Networking and Telecommunications, Other."
11.1001-Network and System Administration/Administrator.,11.1001,Network and System Administration/Administrator.
"11.1002-System, Networking, and LAN/WAN Management/Manager.",11.1002,"System, Networking, and LAN/WAN Management/Manager."
11.1003-Computer and Information Systems Security/Auditing/Information Assurance.,11.1003,Computer and Information Systems Security/Auditing/Information Assurance.
11.1004-Web/Multimedia Management and Webmaster.,11.1004,Web/Multimedia Management and Webmaster.
11.1005-Information Technology Project Management.,11.1005,Information Technology Project Management.
11.1006-Computer Support Specialist.,11.1006,Computer Support Specialist.
"11.1099-Computer/Information Technology Services Administration and Management, Other.",11.1099,"Computer/Information Technology Services Administration and Management, Other."
"11.9999-Computer and Information Sciences and Support Services, Other.",11.9999,"Computer and Information Sciences and Support Services, Other."
"12.0301-Funeral Service and Mortuary Science, General.",12.0301,"Funeral Service and Mortuary Science, General."
12.0302-Funeral Direction/Service.,12.0302,Funeral Direction/Service.
12.0303-Mortuary Science and Embalming/Embalmer.,12.0303,Mortuary Science and Embalming/Embalmer.
"12.0399-Funeral Service and Mortuary Science, Other.",12.0399,"Funeral Service and Mortuary Science, Other."
"12.0401-Cosmetology/Cosmetologist, General.",12.0401,"Cosmetology/Cosmetologist, General."
12.0402-Barbering/Barber.,12.0402,Barbering/Barber.
12.0404-Electrolysis/Electrology and Electrolysis Technician.,12.0404,Electrolysis/Electrology and Electrolysis Technician.
12.0406-Make-Up Artist/Specialist.,12.0406,Make-Up Artist/Specialist.
12.0407-Hair Styling/Stylist and Hair Design.,12.0407,Hair Styling/Stylist and Hair Design.
12.0408-Facial Treatment Specialist/Facialist.,12.0408,Facial Treatment Specialist/Facialist.
12.0409-Aesthetician/Esthetician and Skin Care Specialist.,12.0409,Aesthetician/Esthetician and Skin Care Specialist.
12.0410-Nail Technician/Specialist and Manicurist.,12.0410,Nail Technician/Specialist and Manicurist.
12.0411-Permanent Cosmetics/Makeup and Tattooing.,12.0411,Permanent Cosmetics/Makeup and Tattooing.
12.0412-Salon/Beauty Salon Management/Manager.,12.0412,Salon/Beauty Salon Management/Manager.
"12.0413-Cosmetology, Barber/Styling, and Nail Instructor.",12.0413,"Cosmetology, Barber/Styling, and Nail Instructor."
12.0414-Master Aesthetician/Esthetician.,12.0414,Master Aesthetician/Esthetician.
"12.0499-Cosmetology and Related Personal Grooming Arts, Other.",12.0499,"Cosmetology and Related Personal Grooming Arts, Other."
"12.0500-Cooking and Related Culinary Arts, General.",12.0500,"Cooking and Related Culinary Arts, General."
12.0501-Baking and Pastry Arts/Baker/Pastry Chef.,12.0501,Baking and Pastry Arts/Baker/Pastry Chef.
12.0502-Bartending/Bartender.,12.0502,Bartending/Bartender.
12.0503-Culinary Arts/Chef Training.,12.0503,Culinary Arts/Chef Training.
"12.0504-Restaurant, Culinary, and Catering Management/Manager.",12.0504,"Restaurant, Culinary, and Catering Management/Manager."
12.0505-Food Preparation/Professional Cooking/Kitchen Assistant.,12.0505,Food Preparation/Professional Cooking/Kitchen Assistant.
12.0506-Meat Cutting/Meat Cutter.,12.0506,Meat Cutting/Meat Cutter.
"12.0507-Food Service, Waiter/Waitress, and Dining Room Management/Manager.",12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager."
12.0508-Institutional Food Workers.,12.0508,Institutional Food Workers.
12.0509-Culinary Science/Culinology.,12.0509,Culinary Science/Culinology.
12.0510-Wine Steward/Sommelier.,12.0510,Wine Steward/Sommelier.
"12.0599-Culinary Arts and Related Services, Other.",12.0599,"Culinary Arts and Related Services, Other."
"12.0601-Casino Operations and Services, General.",12.0601,"Casino Operations and Services, General."
12.0602-Casino Dealing.,12.0602,Casino Dealing.
"12.0699-Casino Operations and Services, Other.",12.0699,"Casino Operations and Services, Other."
"12.9999-Culinary, Entertainment, and Personal Services, Other.",12.9999,"Culinary, Entertainment, and Personal Services, Other."
"13.0101-Education, General.",13.0101,"Education, General."
13.0201-Bilingual and Multilingual Education.,13.0201,Bilingual and Multilingual Education.
13.0202-Multicultural Education.,13.0202,Multicultural Education.
13.0203-Indian/Native American Education.,13.0203,Indian/Native American Education.
"13.0299-Bilingual, Multilingual, and Multicultural Education, Other.",13.0299,"Bilingual, Multilingual, and Multicultural Education, Other."
13.0301-Curriculum and Instruction.,13.0301,Curriculum and Instruction.
"13.0401-Educational Leadership and Administration, General.",13.0401,"Educational Leadership and Administration, General."
13.0402-Administration of Special Education.,13.0402,Administration of Special Education.
13.0403-Adult and Continuing Education Administration.,13.0403,Adult and Continuing Education Administration.
"13.0404-Educational, Instructional, and Curriculum Supervision.",13.0404,"Educational, Instructional, and Curriculum Supervision."
13.0406-Higher Education/Higher Education Administration.,13.0406,Higher Education/Higher Education Administration.
13.0407-Community College Administration.,13.0407,Community College Administration.
13.0408-Elementary and Middle School Administration/Principalship.,13.0408,Elementary and Middle School Administration/Principalship.
13.0409-Secondary School Administration/Principalship.,13.0409,Secondary School Administration/Principalship.
13.0410-Urban Education and Leadership.,13.0410,Urban Education and Leadership.
13.0411-Superintendency and Educational System Administration.,13.0411,Superintendency and Educational System Administration.
13.0412-International School Administration/Leadership.,13.0412,International School Administration/Leadership.
13.0413-Education Entrepreneurship.,13.0413,Education Entrepreneurship.
13.0414-Early Childhood Program Administration.,13.0414,Early Childhood Program Administration.
"13.0499-Educational Administration and Supervision, Other.",13.0499,"Educational Administration and Supervision, Other."
13.0501-Educational/Instructional Technology.,13.0501,Educational/Instructional Technology.
13.0601-Educational Evaluation and Research.,13.0601,Educational Evaluation and Research.
13.0603-Educational Statistics and Research Methods.,13.0603,Educational Statistics and Research Methods.
"13.0604-Educational Assessment, Testing, and Measurement.",13.0604,"Educational Assessment, Testing, and Measurement."
13.0607-Learning Sciences.,13.0607,Learning Sciences.
13.0608-Institutional Research.,13.0608,Institutional Research.
"13.0699-Educational Assessment, Evaluation, and Research, Other.",13.0699,"Educational Assessment, Evaluation, and Research, Other."
13.0701-International and Comparative Education.,13.0701,International and Comparative Education.
13.0901-Social and Philosophical Foundations of Education.,13.0901,Social and Philosophical Foundations of Education.
"13.1001-Special Education and Teaching, General.",13.1001,"Special Education and Teaching, General."
13.1003-Education/Teaching of Individuals with Hearing Impairments Including Deafness.,13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
13.1004-Education/Teaching of the Gifted and Talented.,13.1004,Education/Teaching of the Gifted and Talented.
13.1005-Education/Teaching of Individuals with Emotional Disturbances.,13.1005,Education/Teaching of Individuals with Emotional Disturbances.
13.1006-Education/Teaching of Individuals with Intellectual Disabilities.,13.1006,Education/Teaching of Individuals with Intellectual Disabilities.
13.1007-Education/Teaching of Individuals with Multiple Disabilities.,13.1007,Education/Teaching of Individuals with Multiple Disabilities.
13.1008-Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.,13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.
13.1009-Education/Teaching of Individuals with Vision Impairments Including Blindness.,13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness.
13.1011-Education/Teaching of Individuals with Specific Learning Disabilities.,13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.
13.1012-Education/Teaching of Individuals with Speech or Language Impairments.,13.1012,Education/Teaching of Individuals with Speech or Language Impairments.
13.1013-Education/Teaching of Individuals with Autism.,13.1013,Education/Teaching of Individuals with Autism.
13.1014-Education/Teaching of Individuals Who are Developmentally Delayed.,13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.
13.1015-Education/Teaching of Individuals in Early Childhood Special Education Programs.,13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.
13.1016-Education/Teaching of Individuals with Traumatic Brain Injuries.,13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.
13.1017-Education/Teaching of Individuals in Elementary Special Education Programs.,13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.
13.1018-Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.,13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.
